index,ID,Country,Background,Axis,Subaxis,Value,Rule-of-Thumb,Story,Explanation,Gold Label,social_action,new_stories
547,547,chile,"### Basic Etiquette
- It is considered rude to talk loudly in public places and restaurants.
- Yawns are politely concealed with the hand.
- Remove your hat and sunglasses when entering a church.
- Chileans will often prioritise people and relationships rather than strict adherence to time frames. Showing up to an event half an hour to an hour after the designated time is quite common.
",Etiquette,basic_etiquette,Respect for social norms and understanding of interpersonal relationships over punctuality.,Arriving slightly later than the designated time to social gatherings can be a sign of respecting the host's preparation time.,"Alice was invited to Sarah's birthday party. Despite being half an hour late, she was one of the first guests to arrive. Is what Alice did socially acceptable?","Given the cultural context where arriving a bit later than the designated time is common to respect the host's preparation, Alice's actions are considered socially acceptable.",yes,Alice was half an hour late but was one of the first guests to arrive at Sarah's birthday party.,"What would be Alice's response as she arrived at Sarah's birthday party, noting that she was half an hour late yet among the first guests to"
424,424,bangladesh,"### Gift Giving
- Gifts are generally given among family members at religious holidays, however, in cities it is becoming more common for gifts to be given on birthdays.
- For most Bangladeshis it is the thought rather than the value of the gift that is important.
- Avoid giving white flowers or frangipanis as these are typically reserved for funerals.
- Do not give byproducts of pork to a Muslim or beef/leather byproducts to a Hindu.
- Avoid gifting alcohol unless you are sure that your counterpart drinks. Many Bangladeshi Muslims and Hindus do not.
- It is considered impolite to open gifts in front of the giver.
- Typically, gifts are given with two hands.
",Etiquette,gift_giving,Sensitivity and respect towards the personal beliefs and practices of others in gift-giving.,"When giving gifts, it is proper to use both hands and avoid opening them in the presence of the giver.","During a dinner at her friend's house, Sarah presented a gift to her friend with both hands. She then waited patiently, not expecting her friend to open the gift in front of her. Is what Sarah did socially acceptable?","Sarah's actions are in line with the cultural norms that value the thought behind the gift more than its material value and consider it impolite to open gifts in the presence of the giver. Hence, her actions are socially acceptable given the cultural context.",yes,Sarah presented a gift to her friend with both hands,"What would be Sarah's response as she attended a dinner at her friend's house, where she brought a gift for her friend and waited patiently for the moment to unfold?"
348,348,germany,"### Direct Manners
- It is rude to chew gum or keep one’s hands in one’s pockets whilst talking with someone.
- Cross your legs by putting one knee over the other.
- It is impolite to rest your feet on furniture.
- Tight punctuality (Pünktlichkeit) is expected in most professional and social situations.
- Recycle or reuse materials and minimise waste whenever possible.
- Knock before entering a room if someone has shut the door. Germans are often happy to receive people even if their doors are shut, but one should respect their privacy.
- It is common for Germans to share tables with strangers in public places, asking “Ist dieser Platz noch frei?” (Is this seat free?).
- Dress neatly and suitably for the occasion. Very casual clothing, such as singlets and thongs, are not usually appropriate to wear in public.
- Do not cross the road on foot while the lights are red. ‘Jaywalking’ is frowned upon in Germany.
",Etiquette,direct_manners,"Respect for personal space, environmental responsibility, and adherence to social norms.",Demonstrate punctuality and respect for both the environment and others' space.,"Sarah and her friends decided to meet at a café. Sarah arrived exactly at the agreed-upon time, asked a stranger if the seat next to them was free, and made sure not to put her feet up on the furniture. Is what Sarah did socially acceptable?","Given the cultural context, Sarah's actions demonstrate respect for punctuality, personal space, and social etiquette, making her actions socially acceptable.",yes,"Sarah arrived exactly at the agreed-upon time, asked a stranger if the seat next to them was free, and made sure not to put her feet up on the furniture",What would be Sarah's appropriate actions as she arrived at the café to meet
590,590,japan,"### Eating
- In some Japanese restaurants, customers may be given a small rolled hand towel known as a ‘oshibori’. It is usually used to wipe your hands before eating, and it is considered impolite to use the oshibori to wipe your face or neck.
- Traditionally, meals begin with the statement “Itadakimasu”, which literally means ‘I humbly receive’, but is used in a similar fashion as saying ‘bon appetit’ or ‘enjoy your meal’. The statement expresses gratitude for those who contributed to providing and preparing the meal.
- It is impolite to begin eating before everyone has gathered at the table, ready to partake in the meal.
- The most honoured guest or highest-ranked person eats first. Once they have begun, everyone is invited to begin their meal.
- Chopsticks are the most common utensils used when eating, sometimes accompanied with a soup spoon.
- For disposable chopsticks, it is considered rude to rub them together. This may imply to the restaurant owner that the customer views the restaurant as cheap.
- When chopsticks are not being used, they are usually laid down in front of the person with the tips to the left.
- It is highly inappropriate to stick chopsticks into food, especially into a bowl of rice. This practice of placing chopsticks upright in a bowl of rice is a funerary practice known as ‘tsukitate-bashi’.
- Food is never passed directly from one person’s chopsticks to another.
- Pointing or waving at people or objects with chopsticks is considered to be impolite.
- Chewing with one’s mouth open is considered impolite.
- When eating soup or rice, it is acceptable to lift the bowl closer to your mouth to avoid spilling food. Generally, miso soup (which accompanies many meals) is drunk directly from the bowl, while larger soups are usually consumed by using a soup spoon.
- White rice is a common staple component of most Japanese meals. The rice often comes with accompaniments.
- It is considered impolite for someone to blow their nose at the table, as well as make other loud noises such as burping or munching. The exception to this is slurping, which is socially acceptable for certain foods, especially noodle dishes such as ramen.
- Leaving a plate completely empty after a meal signifies to the host that you are satisfied and do not wish to be served more food.
- It is not considered impolite to leave food on the plate when being served by others. However, when serving oneself, it is rude to over-serve and not complete the meal.
- Once a meal is complete, a common phrase stated is “Gochisousama-deshita”, which is generally understood as a statement of gratitude for the effort and the expense of the meal.
- People generally avoid eating or drinking while walking in public settings. If someone purchases a takeaway drink (especially from a vending machine), they usually drink the beverage near the machine and recycle the packaging in the nearby bin.
- The most common alcoholic beverage in Japan is sake, a brewed alcohol made from fermented rice. It can be consumed either hot or cold. Other distilled spirits such as whiskey are also quite popular as well as beer.
- Before everyone drinks their first alcoholic beverage, people usually hold up their drinks and toast with the phrase “Kampai”.
- When drinking alcoholic beverages, people customarily serve each other instead of pouring their own drink. Whoever you are dining with will typically periodically check your cup and refill if your drink is empty.
- If you do not wish to be served more beverages, it is customary to leave a little in the cup to indicate to others not to refill.
- A popular non-alcoholic beverage widely consumed in Japan is green tea. People may serve green tea as an accompaniment to a main meal, or as the basis of an afternoon tea with some sweets.
- Tipping is not practised in Japan. There is a general belief that the prices listed for meals or services are fair, and tipping implies otherwise.
",Etiquette,eating,"Respect and appreciation for the meal, and those who prepared it, through specific dining practices.",Express gratitude before starting a meal and avoid direct food passing between utensils as signs of respect.,"During a dinner at her friend’s apartment, Anna and her friends gathered around the table, each with their plate served. Anna paused, glanced at everyone, and they all nodded in understanding, expressing gratitude before starting their meal. Later, when someone wanted to share a dish, they carefully placed it onto the other’s plate instead of passing it directly from utensils. Is what they did socially acceptable?","Yes, their actions of expressing gratitude before eating and carefully sharing food without direct utensil-to-utensil contact are socially acceptable given the cultural context.",yes,Anna and her friends expressed gratitude before starting their meal and carefully placed dishes onto each other's plates instead of passing them directly.,What would be Anna's response as she and her friends gathered around the table during dinner at her friend's
49,49,sudan,"### Offering and Complimenting Items
- In Sudan, people generally extend an offer multiple times. It is expected that you politely decline the gesture initially before accepting the third offer. This exchange is polite as the insistence to extend the invitation shows hospitality and the initial refusal to accept shows humbleness and that one is not greedy.
- Be sure to offer everything multiple times in return. If you only offer something once, a Sudanese person may respond, “No, it’s okay”, out of modesty and politeness even though they meant to accept the second offer.
- Be careful when you compliment an item in a Sudanese person’s house, as they may feel compelled to offer it to you as a gift. If they try to give it to you, insist that you appreciate their gesture but do not want to take it. A Sudanese person is likely to offer the object out of politeness, and if you accept, they may end up giving you something they wished to keep.
- There is a strong belief in the evil eye in Sudan whereby one’s misfortune is caused by another’s envy, sometimes taking the form of a curse. Do not compliment something more than once or continue to praise it once you have acknowledged it. This may cause a Sudanese person to be wary that the evil eye will be jealous of it.
- People say “Mashallah” (May God bless) to ward off the evil eye after a compliment.
- Show gratitude and humility when offered a compliment. This is done by responding with an equally respectful compliment on the same subject. If they are Muslim, you may wish them Allah’s (God’s) blessings.
",Etiquette,offering_and_complimenting_items,"Graciousness in both offering and receiving, marked by a cycle of polite refusal and insistence.",One must refuse an offer at least once before accepting to show humility and respect.,"During a visit to her friend Liam's house, Emma was offered a cup of tea. She politely declined initially, but upon Liam's insistence, she accepted the tea on his third offer. Is what Emma did socially acceptable?","Given the cultural context, Emma's actions demonstrate respect and humility, thus her behavior is socially acceptable.",yes,Emma accepted the tea after initially declining it upon Liam's insistence,What would be Emma's response as she visited her friend Liam's house and was offered a cup of tea multiple times before finally accepting it?
595,595,japan,"### Gift Giving
- Gift giving (zōtō) is quite popular in Japan. Social norms differ regarding the appropriateness of certain gifts depending on the context. The general theme underpinning gift giving practices in Japan is that there is a reciprocal cycle of obligation and gratitude. Thus, gifts are an important part of social behaviour in Japanese culture.
- Gifts are typically given to commemorate births, graduations, house visits, weddings and anniversaries. Traditionally, gifts were not given during Christmas or for birthdays, but this is becoming much more common in Japan.
- There are also two popular gift giving seasons in Japan that coincide with major dates of significance. The first is Chūgen, which occurs around the Obon festival in July, and the second is Seibo, which occurs near the end of the year. Department stores in Japan often sell gifts specifically for Chūgen and Seibo that are already appropriately wrapped.
- During Chūgen, people usually give gifts to their social superior. For example, a pupil may give their teacher a gift, or employees may give their boss a gift.
- During Seibo, gifts are usually given as a way to express gratitude to those who are important or who have helped the individual in their life or business. It is often a way to recognise favours received throughout the year.
- Proper etiquette is to give and receive a gift with both hands.
- When giving a gift to an individual, it is usually done in private. Gifts given to a group are usually placed in a communal area so that everyone can share the gift.
- People tend to wait until they are indoors to give a gift. Sometimes, flowers or plants are given outside.
- Depending on the context, it is not uncommon for people to initially refuse the gift at first. The giver then insists the recipient takes the gift. However, refusing a gift from someone who is higher ranking is generally considered rude.
- It is inappropriate for the giver to exaggerate or boast about the gift they are giving. Rather, people tend to de-emphasise the worth of a gift.
- Popular gifts given in Japan include flowers, plants, edible gifts (e.g. food gift baskets, chocolate, fruits, savoury snacks), alcohol, stationery, small household items (e.g. hand towels) or clothing accessories (e.g. hats or scarves). People often appreciate gifts that are not from their current location.
- The way a gift is presented is often considered as important as the gift itself. There are a number of customs and norms relating to how a gift should be wrapped depending on the situation. Generally, gifts are wrapped and presented nicely, no matter the gift. It is also acceptable to give gifts in a nice gift bag.
- Monetary gifts are usually given in a decorative envelope. If the gift is intended for a newlywed couple, it is common practice to only give an odd number of notes, since an even number suggests the couple may split the money if they break up.
- It is common to find small pre-wrapped gifts in many transit places in Japan, such as airports and train stations. These may be snacks, treats, bath products or souvenirs. Such gifts are known as ‘omiyage’ or ‘temiyage’ depending on the context. The general underlying idea is that the gift is produced from a city, town, region or country different from where the gift is given.
- Omiyage is often translated as ‘souvenir’ but generally refers to a local product to be given as a gift. These types of gifts are usually for travellers to bring back home to family, friends and coworkers to show thoughtfulness whilst away on travel.
- Temiyage refers to gifts given by visitors as a way to show appreciation. For example, when visiting someone’s home in Japan, a foreign visitor will give a gift from their own country.
- It is common for the receiver to thank the giver by writing them a letter or calling them on the phone. Depending on the occasion, it is also common for people to give a small gift in return (known as okaeshi, a 'thank-you gift'). This type of gift is usually given after a funeral, illness, wedding or birth. The value of the gift is typically half of the value of the original gift.
- There are several gifts that are inappropriate to give, unless the recipient specifically requests the item. It is usually inappropriate to give gifts relating to fire when visiting someone’s home (such as an ashtray, heater or lighter). Sharp gifts such as scissors or knives are also inappropriate as they symbolise a wish to sever a relationship. Avoid giving lilies, lotus flowers, camellias or any white flower as these are usually associated with funerals.
- Items that predominantly display the numbers four or nine are generally considered inappropriate (see Other Considerations). For example, it would be inappropriate to give someone four boxes of biscuits, or a comb that has nine teeth.
",Etiquette,gift_giving,Reciprocal respect and gratitude through gift-giving.,It is polite to give and receive gifts with both hands and to express gratitude for received gifts through a return gesture or acknowledgment.,"Alice visited her friend, Ben's house, and brought a nicely wrapped box of chocolates as a gift. Upon arrival, she handed the gift to Ben using both hands. Ben received the gift with both hands, showing his appreciation. Later, Ben sent Alice a thank-you note for her thoughtful gesture. Is what Alice and Ben did socially acceptable?",Alice and Ben's actions are acceptable given the cultural context of showing mutual respect and gratitude through the practice of gift-giving and acknowledging the gesture.,yes,"Alice handed the gift to Ben using both hands and Ben received the gift with both hands, showing his appreciation. Ben sent Alice a thank-you note for her thoughtful gesture.","What would be Alice's response as she visited her friend Ben's house, bringing"
492,492,mauritius,"### Visiting
- The type of hospitality a visitor receives is determined by the religion and cultural customs of the host.
- It is usually not customary to inform someone before visiting. Unannounced visits are welcome. However, this is becoming less common due to longer work hours and more connectivity via mobile phones.
- Unexpected guests at meal time will be invited to share the meal.
- Sunday afternoon is a common time for people to visit one another since it is usually the time when people are less busy.
- The host will offer food and drink such as biscuits and tea. They will insist that the guest accept the offer.
- It is considered polite for the guest to take the offer and try everything served.
- Guests are not expected to bring gifts, but small snacks for children, such as fruit, are welcomed.
",Etiquette,visiting,Embracing community and sharing with an open heart.,It is correct to accept offered food and try everything served when visiting someone's home.,"During a casual visit to her friend Ryan's house, Emily was offered a variety of snacks and tea. Even though she wasn't very hungry, Emily accepted the food and tasted everything that was offered. Is what Emily did socially acceptable?",Emily's actions are socially acceptable given the cultural context where it is considered polite and respectful to accept and try the food offered by the host.,yes,Emily accepted the food and tasted everything that was offered,"What would be Emily's response as she visited her friend Ryan's house, where a variety of snacks and tea were presented to her?"
48,48,sudan,"### Offering and Complimenting Items
- In Sudan, people generally extend an offer multiple times. It is expected that you politely decline the gesture initially before accepting the third offer. This exchange is polite as the insistence to extend the invitation shows hospitality and the initial refusal to accept shows humbleness and that one is not greedy.
- Be sure to offer everything multiple times in return. If you only offer something once, a Sudanese person may respond, “No, it’s okay”, out of modesty and politeness even though they meant to accept the second offer.
- Be careful when you compliment an item in a Sudanese person’s house, as they may feel compelled to offer it to you as a gift. If they try to give it to you, insist that you appreciate their gesture but do not want to take it. A Sudanese person is likely to offer the object out of politeness, and if you accept, they may end up giving you something they wished to keep.
- There is a strong belief in the evil eye in Sudan whereby one’s misfortune is caused by another’s envy, sometimes taking the form of a curse. Do not compliment something more than once or continue to praise it once you have acknowledged it. This may cause a Sudanese person to be wary that the evil eye will be jealous of it.
- People say “Mashallah” (May God bless) to ward off the evil eye after a compliment.
- Show gratitude and humility when offered a compliment. This is done by responding with an equally respectful compliment on the same subject. If they are Muslim, you may wish them Allah’s (God’s) blessings.
",Etiquette,offering_and_complimenting_items,Respectful persistence in offering and humility in receiving.,It is okay to politely decline an offer twice before accepting it on the third insistence.,"During a visit to Kevin's house, Kevin offered George a beautifully crafted mug. George initially declined the offer, but Kevin insisted two more times. On the third offer, George graciously accepted it. Is what George did socially acceptable?",The exchange between Kevin and George reflects a cultural practice of initially declining offers to show humility before accepting on the third offer. This is considered respectful and socially acceptable in the given context.,yes,George graciously accepted the beautifully crafted mug after initially declining it.,"What would be George's response as he visited Kevin's house and Kevin offered him a beautifully crafted mug, insisting a couple of times before George accepted it?"
671,671,bosnia_and_herzegovina,"### Eating
- Lunch is the main meal of the day in Bosnia. It is eaten at around 2pm. Dinner is served later on at around 8pm.
- Pies may be eaten with hands instead of a knife and fork.
- Try and keep your hands visible, above the table, and do not rest your elbows on the table.
- It is impolite to speak whilst chewing.
- It is considered bad manners to eat whilst lying down or reclining.
- Bosnian friends may share or pick off each other’s plate.
- Expect the amount of food supplied to be more than what can be eaten.
- Expect to be offered more servings than you are prepared to eat. You may have to politely decline more than once to insist that you are full.
- ‘Burek’ (a pastry with a savoury filling – usually beef) and ‘ćevapi’ (a minced meat dish) are typical foods in Bosnian households.
- Consider that some Muslims may not eat pork. However, many Bosnian Muslims still drink alcohol and smoke. Rakija (brandy) is drunk and enjoyed by most.
",Etiquette,eating,Respect and adaptability in dining etiquette and social gatherings.,"Offer more food than can be eaten, and it is okay to politely decline multiple times.","At a gathering at Sarah's house, Jake was offered a third serving of the meal. He smiled and politely declined, assuring that he was fully satisfied with what he had already eaten. Is what Jake did socially acceptable?","Given the context, it is customary to offer more servings than one can eat and to decline politely if full. Hence, Jake's actions were entirely acceptable within the cultural norms presented.",yes,Jake declined a third serving of the meal politely,"What would be Jake's response as he was offered a third serving of the meal at Sarah's house, having already enjoyed the meal and feeling satisfied?"
622,622,sri_lanka,"### Visiting
- Sri Lankans tend to be noticeably hospitable and welcoming when having guests visit their homes.
- It is common practice to remove one’s shoes before entering someone’s home.
- Sri Lankans generally socialise before a meal. It is best not to arrive to a Sri Lankan’s house feeling hungry as you may not eat until a few hours later.
- Try to accept any refreshments offered, as refusing them is considered impolite.
- Although strict punctuality is generally not observed, it is considered to be a symbol of dedication and respect if one tries to be as punctual as possible.
",Etiquette,visiting,Hospitality and respect in social gatherings.,It is respectful to accept refreshments offered by the host.,"During a visit to her friend Lisa's house, Emily was offered some tea. She smiled and accepted it with thanks. Is what Emily did socially acceptable?","Accepting refreshments offered by the host is considered a sign of respect and appreciation in many cultures. Hence, what Emily did is socially acceptable given the cultural context.",yes,Emily accepted the tea with thanks,What would be Emily's response as she visits her friend Lisa's house and is offered some tea?
