index,ID,Country,Background,Axis,Subaxis,Value,Rule-of-Thumb,Explanation,Gold Label,Story,social_action,new_stories,revised_story
424,424,bangladesh,"### Gift Giving
- Gifts are generally given among family members at religious holidays, however, in cities it is becoming more common for gifts to be given on birthdays.
- For most Bangladeshis it is the thought rather than the value of the gift that is important.
- Avoid giving white flowers or frangipanis as these are typically reserved for funerals.
- Do not give byproducts of pork to a Muslim or beef/leather byproducts to a Hindu.
- Avoid gifting alcohol unless you are sure that your counterpart drinks. Many Bangladeshi Muslims and Hindus do not.
- It is considered impolite to open gifts in front of the giver.
- Typically, gifts are given with two hands.
",Etiquette,gift_giving,Sensitivity and respect towards the personal beliefs and practices of others in gift-giving.,"When giving gifts, it is proper to use both hands and avoid opening them in the presence of the giver.","Sarah's actions are in line with the cultural norms that value the thought behind the gift more than its material value and consider it impolite to open gifts in the presence of the giver. Hence, her actions are socially acceptable given the cultural context.",yes,"During a dinner at her friend's house, Sarah presented a gift to her friend with both hands. She then waited patiently, not expecting her friend to open the gift in front of her. Is what Sarah did socially acceptable?",Sarah presented a gift to her friend with both hands,"What would be Sarah's response as she attended a dinner at her friend's house, where she brought a gift for her friend and waited patiently for the moment to unfold?","What would be Sarah's response as she attended a dinner at her friend's house, where she brought a gift for her friend and waited patiently for the moment to unfold?"
348,348,germany,"### Direct Manners
- It is rude to chew gum or keep one’s hands in one’s pockets whilst talking with someone.
- Cross your legs by putting one knee over the other.
- It is impolite to rest your feet on furniture.
- Tight punctuality (Pünktlichkeit) is expected in most professional and social situations.
- Recycle or reuse materials and minimise waste whenever possible.
- Knock before entering a room if someone has shut the door. Germans are often happy to receive people even if their doors are shut, but one should respect their privacy.
- It is common for Germans to share tables with strangers in public places, asking “Ist dieser Platz noch frei?” (Is this seat free?).
- Dress neatly and suitably for the occasion. Very casual clothing, such as singlets and thongs, are not usually appropriate to wear in public.
- Do not cross the road on foot while the lights are red. ‘Jaywalking’ is frowned upon in Germany.
",Etiquette,direct_manners,"Respect for personal space, environmental responsibility, and adherence to social norms.",Demonstrate punctuality and respect for both the environment and others' space.,"Given the cultural context, Sarah's actions demonstrate respect for punctuality, personal space, and social etiquette, making her actions socially acceptable.",yes,"Sarah and her friends decided to meet at a café. Sarah arrived exactly at the agreed-upon time, asked a stranger if the seat next to them was free, and made sure not to put her feet up on the furniture. Is what Sarah did socially acceptable?","Sarah arrived exactly at the agreed-upon time, asked a stranger if the seat next to them was free, and made sure not to put her feet up on the furniture",What would be Sarah's appropriate actions as she arrived at the café to meet,What would be Sarah's appropriate actions as she arrived at the café to meet her friends?
49,49,sudan,"### Offering and Complimenting Items
- In Sudan, people generally extend an offer multiple times. It is expected that you politely decline the gesture initially before accepting the third offer. This exchange is polite as the insistence to extend the invitation shows hospitality and the initial refusal to accept shows humbleness and that one is not greedy.
- Be sure to offer everything multiple times in return. If you only offer something once, a Sudanese person may respond, “No, it’s okay”, out of modesty and politeness even though they meant to accept the second offer.
- Be careful when you compliment an item in a Sudanese person’s house, as they may feel compelled to offer it to you as a gift. If they try to give it to you, insist that you appreciate their gesture but do not want to take it. A Sudanese person is likely to offer the object out of politeness, and if you accept, they may end up giving you something they wished to keep.
- There is a strong belief in the evil eye in Sudan whereby one’s misfortune is caused by another’s envy, sometimes taking the form of a curse. Do not compliment something more than once or continue to praise it once you have acknowledged it. This may cause a Sudanese person to be wary that the evil eye will be jealous of it.
- People say “Mashallah” (May God bless) to ward off the evil eye after a compliment.
- Show gratitude and humility when offered a compliment. This is done by responding with an equally respectful compliment on the same subject. If they are Muslim, you may wish them Allah’s (God’s) blessings.
",Etiquette,offering_and_complimenting_items,"Graciousness in both offering and receiving, marked by a cycle of polite refusal and insistence.",One must refuse an offer at least once before accepting to show humility and respect.,"Given the cultural context, Emma's actions demonstrate respect and humility, thus her behavior is socially acceptable.",yes,"During a visit to her friend Liam's house, Emma was offered a cup of tea. She politely declined initially, but upon Liam's insistence, she accepted the tea on his third offer. Is what Emma did socially acceptable?",Emma accepted the tea after initially declining it upon Liam's insistence,What would be Emma's response as she visited her friend Liam's house and was offered a cup of tea multiple times before finally accepting it?,What would be Emma's response as she visited her friend Liam's house and was offered a cup of tea multiple times?
492,492,mauritius,"### Visiting
- The type of hospitality a visitor receives is determined by the religion and cultural customs of the host.
- It is usually not customary to inform someone before visiting. Unannounced visits are welcome. However, this is becoming less common due to longer work hours and more connectivity via mobile phones.
- Unexpected guests at meal time will be invited to share the meal.
- Sunday afternoon is a common time for people to visit one another since it is usually the time when people are less busy.
- The host will offer food and drink such as biscuits and tea. They will insist that the guest accept the offer.
- It is considered polite for the guest to take the offer and try everything served.
- Guests are not expected to bring gifts, but small snacks for children, such as fruit, are welcomed.
",Etiquette,visiting,Embracing community and sharing with an open heart.,It is correct to accept offered food and try everything served when visiting someone's home.,Emily's actions are socially acceptable given the cultural context where it is considered polite and respectful to accept and try the food offered by the host.,yes,"During a casual visit to her friend Ryan's house, Emily was offered a variety of snacks and tea. Even though she wasn't very hungry, Emily accepted the food and tasted everything that was offered. Is what Emily did socially acceptable?",Emily accepted the food and tasted everything that was offered,"What would be Emily's response as she visited her friend Ryan's house, where a variety of snacks and tea were presented to her?","What would be Emily's response as she visited her friend Ryan's house, where a variety of snacks and tea were presented to her given that se was not hungry?"
48,48,sudan,"### Offering and Complimenting Items
- In Sudan, people generally extend an offer multiple times. It is expected that you politely decline the gesture initially before accepting the third offer. This exchange is polite as the insistence to extend the invitation shows hospitality and the initial refusal to accept shows humbleness and that one is not greedy.
- Be sure to offer everything multiple times in return. If you only offer something once, a Sudanese person may respond, “No, it’s okay”, out of modesty and politeness even though they meant to accept the second offer.
- Be careful when you compliment an item in a Sudanese person’s house, as they may feel compelled to offer it to you as a gift. If they try to give it to you, insist that you appreciate their gesture but do not want to take it. A Sudanese person is likely to offer the object out of politeness, and if you accept, they may end up giving you something they wished to keep.
- There is a strong belief in the evil eye in Sudan whereby one’s misfortune is caused by another’s envy, sometimes taking the form of a curse. Do not compliment something more than once or continue to praise it once you have acknowledged it. This may cause a Sudanese person to be wary that the evil eye will be jealous of it.
- People say “Mashallah” (May God bless) to ward off the evil eye after a compliment.
- Show gratitude and humility when offered a compliment. This is done by responding with an equally respectful compliment on the same subject. If they are Muslim, you may wish them Allah’s (God’s) blessings.
",Etiquette,offering_and_complimenting_items,Respectful persistence in offering and humility in receiving.,It is okay to politely decline an offer twice before accepting it on the third insistence.,The exchange between Kevin and George reflects a cultural practice of initially declining offers to show humility before accepting on the third offer. This is considered respectful and socially acceptable in the given context.,yes,"During a visit to Kevin's house, Kevin offered George a beautifully crafted mug. George initially declined the offer, but Kevin insisted two more times. On the third offer, George graciously accepted it. Is what George did socially acceptable?",George graciously accepted the beautifully crafted mug after initially declining it.,"What would be George's response as he visited Kevin's house and Kevin offered him a beautifully crafted mug, insisting a couple of times before George accepted it?","What would be George's response as he visited Kevin's house and Kevin offered him a beautifully crafted mug, insisting a couple of times?"
671,671,bosnia_and_herzegovina,"### Eating
- Lunch is the main meal of the day in Bosnia. It is eaten at around 2pm. Dinner is served later on at around 8pm.
- Pies may be eaten with hands instead of a knife and fork.
- Try and keep your hands visible, above the table, and do not rest your elbows on the table.
- It is impolite to speak whilst chewing.
- It is considered bad manners to eat whilst lying down or reclining.
- Bosnian friends may share or pick off each other’s plate.
- Expect the amount of food supplied to be more than what can be eaten.
- Expect to be offered more servings than you are prepared to eat. You may have to politely decline more than once to insist that you are full.
- ‘Burek’ (a pastry with a savoury filling – usually beef) and ‘ćevapi’ (a minced meat dish) are typical foods in Bosnian households.
- Consider that some Muslims may not eat pork. However, many Bosnian Muslims still drink alcohol and smoke. Rakija (brandy) is drunk and enjoyed by most.
",Etiquette,eating,Respect and adaptability in dining etiquette and social gatherings.,"Offer more food than can be eaten, and it is okay to politely decline multiple times.","Given the context, it is customary to offer more servings than one can eat and to decline politely if full. Hence, Jake's actions were entirely acceptable within the cultural norms presented.",yes,"At a gathering at Sarah's house, Jake was offered a third serving of the meal. He smiled and politely declined, assuring that he was fully satisfied with what he had already eaten. Is what Jake did socially acceptable?",Jake declined a third serving of the meal politely,"What would be Jake's response as he was offered a third serving of the meal at Sarah's house, having already enjoyed the meal and feeling satisfied?","What would be Jake's response as he was offered a third serving of the meal at Sarah's house, having already enjoyed the meal and feeling satisfied?"
622,622,sri_lanka,"### Visiting
- Sri Lankans tend to be noticeably hospitable and welcoming when having guests visit their homes.
- It is common practice to remove one’s shoes before entering someone’s home.
- Sri Lankans generally socialise before a meal. It is best not to arrive to a Sri Lankan’s house feeling hungry as you may not eat until a few hours later.
- Try to accept any refreshments offered, as refusing them is considered impolite.
- Although strict punctuality is generally not observed, it is considered to be a symbol of dedication and respect if one tries to be as punctual as possible.
",Etiquette,visiting,Hospitality and respect in social gatherings.,It is respectful to accept refreshments offered by the host.,"Accepting refreshments offered by the host is considered a sign of respect and appreciation in many cultures. Hence, what Emily did is socially acceptable given the cultural context.",yes,"During a visit to her friend Lisa's house, Emily was offered some tea. She smiled and accepted it with thanks. Is what Emily did socially acceptable?",Emily accepted the tea with thanks,What would be Emily's response as she visits her friend Lisa's house and is offered some tea?,What would be Emily's response as she visits her friend Lisa's house and is offered some tea?
744,744,laos,"### Eating
- There are no specific set meal times, though people typically eat in a group or as a family rather than alone. The exception is urban families who may have busy schedules.
- Most Lao food is eaten with one’s hands. Spoons and forks are usually used for rice that has been boiled or steamed, along with some other foods. Chopsticks are often used for noodles.
- When both a spoon and fork is used, Lao typically eat with the fork in their left hand and the spoon in their right.
- Food tends to be served on a communal dish or the banana leaf in which it was cooked.
- As a sign of respect to the guest, the host and their family will avoid raising their heads above the level of the guest’s. As such, they may bring the food in a squat position so as not to offend their guests.
- Meat and vegetables are usually cut into bite-size pieces.
- In traditional Lao homes, the meal is served while people sit in a circle on a mat-covered floor.
",Etiquette,eating,Respect for communal dining traditions and consideration for the comfort and respect of others during meals.,"When sharing a meal, it's respectful to wait for everyone to be ready and to eat together, using the utensils in a manner that matches the setting.","Waiting to start eating until everyone is ready and the host has indicated it's okay is a sign of respect and consideration in communal dining settings. Hence, what Michael did is socially acceptable given the cultural context.",yes,"At a dinner gathering at Sarah's house, Michael noticed that everyone was seated around a large mat with dishes in the center. Before starting to eat, he waited for Sarah to indicate they could begin. Is what Michael did socially acceptable?",Michael waited for Sarah to indicate they could begin eating,What would be Michael's appropriate response as he noticed everyone was seated around a large mat with dishes in the center during the dinner gathering at Sarah's house?,What would be Michael's appropriate response as he noticed everyone was seated around a large mat with dishes in the center during the dinner gathering at Sarah's house?
571,571,afghanistan,"### Basic Etiquette
- Use your right hand or both hands together to gesture or offer anything. The left hand is used for cleaning and hygiene purposes and should not be used to gesture or touch things (e.g. food/people). See more under Communication.
- In Afghanistan, one should not touch people of the opposite gender unless they are very close family or friends.
- Leave the door open if talking one on one with an Afghan of the opposite gender.
- It is extremely inappropriate and disrespectful for men to enquire about an Afghan man’s female family members, unless you know the family or person well.
- If you wish to smoke, it is polite to offer a cigarette to everyone in your company.
- Ask an Afghan’s permission before taking their photograph – especially if they are a woman.
- It is rude to walk away from someone while they are still talking to you.
- Both men and women should dress modestly when meeting an Afghan. In Afghanistan, women should only let their face, hands and feet show, and the definition of the legs should not be distinguishable.
- It is very difficult to be punctual during one’s daily activities in Afghanistan as various incidents often occur (whether it be a pressing family matter, terrible traffic in cities, roadblocks, a power outage or an insurgent-related threat). There is also a widely held belief that one will arrive if and when God deems it – “Inshallah” (“If God wills it”). In conjunction with this fatalistic approach, people’s views of time are often a lot more flexible than Western notions of punctuality. They tend to be more understanding of lateness and generous with their time.
",Etiquette,basic_etiquette,"Respect for cultural norms regarding personal space, modesty, and hospitality.",Use your right hand or both hands when offering or passing objects to others.,"Using the right hand or both hands when offering or passing objects is considered respectful and polite, making Emily's actions socially acceptable given the cultural context.",yes,"During a visit to a friend's house, Emily wanted to share her homemade cookies. She used her right hand to offer them to each guest. Is what Emily did socially acceptable?",Emily used her right hand to offer cookies to each guest,What would be Emily's response as she visited a friend's house and wanted to share her homemade cookies with each guest?,What would be Emily's response as she visited a friend's house and wanted to share her homemade cookies with each guest?
614,614,netherlands,"### Gifts
- When visiting a host, it is appropriate to bring chocolates, flowers or a book as gifts.
- Do not give white lilies or chrysanthemums. These are used during times of mourning.
- Gifts are usually opened in front of the giver upon being received.
- Gifting very expensive or lavish items can make the receiver a bit uncomfortable.
",Etiquette,gifts,Thoughtfulness and modesty in gift-giving.,"Gifts should be thoughtful but not excessively lavish, and it's polite to open them in the presence of the giver.","Yes, it is polite and expected to open gifts in the presence of the giver to express gratitude, which aligns with the described cultural etiquette.",yes,Alice went to visit her friend Bob's house for dinner and brought a box of chocolates as a gift. Bob opened the gift in front of Alice and thanked her. Is what Bob did socially acceptable?,Bob opened the gift in front of Alice and thanked her,What would be Bob's response as Alice visited his house for dinner and brought a box of chocolates as a gift?,What would be Bob's response as Alice visited his house for dinner and brought a box of chocolates as a gift?
